x,y,z
-0.774008,3.45149,98.4204
-0.766385,3.45796,98.4167
-0.758729,3.4644,98.4131
-0.751042,3.47079,98.4094
-0.743322,3.47715,98.4058
-0.735571,3.48347,98.4022
-0.727788,3.48975,98.3985
-0.719974,3.49599,98.3949
-0.712129,3.50219,98.3913
-0.704253,3.50835,98.3876
-0.696347,3.51447,98.384
-0.68841,3.52056,98.3803
-0.680442,3.5266,98.3767
-0.672445,3.5326,98.3731
-0.664417,3.53857,98.3694
-0.65636,3.54449,98.3658
-0.648273,3.55037,98.3621
-0.640157,3.55621,98.3585
-0.632012,3.56201,98.3549
-0.623838,3.56777,98.3512
-0.615635,3.57349,98.3476
-0.607404,3.57917,98.3439
-0.599144,3.58481,98.3403
-0.590857,3.59041,98.3367
-0.582541,3.59596,98.333
-0.574198,3.60147,98.3294
-0.565827,3.60694,98.3257
-0.557429,3.61237,98.3221
-0.549004,3.61776,98.3185
-0.540552,3.62311,98.3148
-0.532074,3.62841,98.3112
-0.523569,3.63367,98.3075
-0.515038,3.63889,98.3039
-0.506481,3.64406,98.3003
-0.497899,3.64919,98.2966
-0.48929,3.65428,98.293
-0.480657,3.65933,98.2893
-0.471998,3.66433,98.2857
-0.463315,3.66929,98.2821
-0.454606,3.6742,98.2784
-0.445873,3.67908,98.2748
-0.437116,3.68391,98.2711
-0.428335,3.68869,98.2675
-0.41953,3.69343,98.2639
-0.410702,3.69813,98.2602
-0.40185,3.70278,98.2566
-0.392975,3.70739,98.2529
-0.384077,3.71195,98.2493
-0.375156,3.71647,98.2457
-0.366213,3.72094,98.242
-0.357248,3.72537,98.2384
-0.34826,3.72976,98.2347
-0.339251,3.7341,98.2311
-0.33022,3.73839,98.2275
-0.321168,3.74264,98.2238
-0.312095,3.74685,98.2202
-0.303,3.75101,98.2165
-0.293886,3.75512,98.2129
-0.28475,3.75919,98.2093
-0.275595,3.76321,98.2056
-0.266419,3.76718,98.202
-0.257224,3.77111,98.1983
-0.248009,3.775,98.1947
-0.238775,3.77884,98.1911
-0.229521,3.78263,98.1874
-0.220249,3.78637,98.1838
-0.210958,3.79007,98.1801
-0.20165,3.79372,98.1765
-0.192322,3.79733,98.1729
-0.182977,3.80089,98.1692
-0.173614,3.8044,98.1656
-0.164234,3.80787,98.1619
-0.154836,3.81129,98.1583
-0.145422,3.81466,98.1547
-0.135991,3.81798,98.151
-0.126543,3.82126,98.1474
-0.117079,3.82449,98.1438
-0.107599,3.82767,98.1401
-0.0981034,3.83081,98.1365
-0.0885918,3.8339,98.1328
-0.0790654,3.83694,98.1292
-0.0695234,3.83993,98.1256
-0.059967,3.84287,98.1219
-0.0503956,3.84577,98.1183
-0.0408103,3.84862,98.1146
-0.0312104,3.85142,98.111
-0.021597,3.85417,98.1074
-0.0119696,3.85688,98.1037
-0.00232923,3.85953,98.1001
0.00732481,3.86214,98.0964
0.0169913,3.8647,98.0928
0.0266709,3.86721,98.0892
0.0363625,3.86968,98.0855
0.0460667,3.87209,98.0819
0.0557825,3.87446,98.0782
0.0655104,3.87678,98.0746
0.0752493,3.87905,98.071
0.0849999,3.88127,98.0673
0.094761,3.88344,98.0637
0.104533,3.88556,98.06
0.114316,3.88763,98.0564
0.124109,3.88966,98.0528
0.133911,3.89163,98.0491
0.143724,3.89356,98.0455
0.153546,3.89544,98.0418
0.163378,3.89727,98.0382
0.173218,3.89905,98.0346
0.183067,3.90078,98.0309
0.192925,3.90246,98.0273
0.202791,3.90409,98.0236
0.212665,3.90567,98.02
0.222547,3.90721,98.0164
0.232436,3.90869,98.0127
0.242333,3.91012,98.0091
0.252236,3.91151,98.0054
0.262147,3.91284,98.0018
0.272064,3.91413,97.9982
0.281987,3.91536,97.9945
0.291917,3.91655,97.9909
0.301852,3.91769,97.9872
0.311793,3.91877,97.9836
0.321738,3.91981,97.98
0.33169,3.9208,97.9763
0.341645,3.92174,97.9727
0.351606,3.92262,97.969
0.361571,3.92346,97.9654
0.37154,3.92425,97.9618
0.381512,3.92499,97.9581
0.391489,3.92568,97.9545
0.401468,3.92632,97.9509
0.411451,3.9269,97.9472
0.421437,3.92744,97.9436
0.431424,3.92793,97.9399
0.441415,3.92837,97.9363
0.451407,3.92876,97.9326
0.461402,3.9291,97.929
0.471397,3.92939,97.9254
0.481395,3.92963,97.9217
0.491393,3.92982,97.9181
0.501392,3.92995,97.9145
0.511391,3.93004,97.9108
0.521391,3.93008,97.9072
0.531391,3.93007,97.9035
0.541391,3.93001,97.8999
0.55139,3.9299,97.8963
0.561389,3.92974,97.8926
0.571387,3.92953,97.889
0.581383,3.92927,97.8853
0.591378,3.92896,97.8817
0.601372,3.92859,97.8781
0.611363,3.92818,97.8744
0.621353,3.92772,97.8708
0.63134,3.92721,97.8671
0.641324,3.92665,97.8635
0.651305,3.92604,97.8599
0.661284,3.92538,97.8562
0.671259,3.92467,97.8526
0.681229,3.92391,97.8489
0.691197,3.9231,97.8453
0.701159,3.92224,97.8417
0.711118,3.92133,97.838
0.721072,3.92037,97.8344
0.731021,3.91936,97.8307
0.740964,3.9183,97.8271
0.750903,3.91719,97.8235
0.760835,3.91603,97.8198
0.770762,3.91483,97.8162
0.780683,3.91357,97.8125
0.790597,3.91226,97.8089
0.800504,3.9109,97.8053
0.810405,3.9095,97.8016
0.820298,3.90804,97.798
0.830185,3.90654,97.7943
0.840063,3.90498,97.7907
0.849934,3.90338,97.7871
0.859796,3.90173,97.7834
0.86965,3.90002,97.7798
0.879495,3.89827,97.7761
0.889332,3.89647,97.7725
0.899159,3.89462,97.7689
0.908977,3.89272,97.7652
0.918785,3.89077,97.7616
0.928584,3.88877,97.7579
0.938372,3.88673,97.7543
0.94815,3.88463,97.7507
0.957918,3.88249,97.747
0.967674,3.88029,97.7434
0.97742,3.87805,97.7397
0.987154,3.87576,97.7361
0.996876,3.87342,97.7325
1.00659,3.87104,97.7288
1.01629,3.8686,97.7252
1.02597,3.86611,97.7215
1.03565,3.86358,97.7179
1.04531,3.861,97.7143
1.05496,3.85837,97.7106
1.06459,3.85569,97.707
1.07421,3.85297,97.7033
1.08382,3.85019,97.6997
1.09341,3.84737,97.6961
1.10299,3.8445,97.6924
1.11256,3.84158,97.6888
1.12211,3.83862,97.6852
1.13164,3.8356,97.6815
1.14116,3.83254,97.6779
1.15067,3.82943,97.6742
1.16015,3.82628,97.6706
1.16963,3.82307,97.667
1.17908,3.81982,97.6633
1.18852,3.81652,97.6597
1.19795,3.81318,97.656
1.20736,3.80979,97.6524
1.21675,3.80635,97.6488
1.22612,3.80286,97.6451
1.23547,3.79933,97.6415
1.24481,3.79575,97.6378
1.25583,3.79148,97.6342
1.26516,3.78787,97.6306
1.27448,3.78426,97.6269
1.28381,3.78065,97.6233
1.29313,3.77703,97.6196
1.30246,3.77342,97.616
1.31178,3.76981,97.6124
1.32111,3.7662,97.6087
1.33043,3.76259,97.6051
1.33976,3.75898,97.6014
1.34908,3.75537,97.5978
1.35841,3.75175,97.5942
1.36773,3.74814,97.5905
1.37706,3.74453,97.5869
1.38638,3.74092,97.5832
1.39571,3.73731,97.5796
1.40503,3.7337,97.576
1.41436,3.73008,97.5723
1.42368,3.72647,97.5687
1.43301,3.72286,97.565
1.44233,3.71925,97.5614
1.45166,3.71564,97.5578
1.46098,3.71203,97.5541
1.47031,3.70841,97.5505
1.47963,3.7048,97.5468
1.48896,3.70119,97.5432
1.49828,3.69758,97.5396
1.50761,3.69397,97.5359
1.51693,3.69036,97.5323
1.52626,3.68674,97.5286
1.53558,3.68313,97.525
1.54491,3.67952,97.5214
1.55423,3.67591,97.5177
1.56356,3.6723,97.5141
1.57288,3.66869,97.5104
1.58221,3.66508,97.5068
1.59153,3.66146,97.5032
1.60086,3.65785,97.4995
1.61018,3.65424,97.4959
1.61951,3.65063,97.4922
1.62883,3.64702,97.4886
1.63816,3.64341,97.485
1.64748,3.63979,97.4813
1.65681,3.63618,97.4777
1.66613,3.63257,97.474
1.67546,3.62896,97.4704
1.68479,3.62535,97.4668
1.69411,3.62174,97.4631
1.70344,3.61812,97.4595
1.71276,3.61451,97.4558
1.72209,3.6109,97.4522
1.73141,3.60729,97.4486
1.74074,3.60368,97.4449
1.75006,3.60007,97.4413
1.75939,3.59646,97.4377
1.76871,3.59284,97.434
1.77804,3.58923,97.4304
1.78736,3.58562,97.4267
1.79669,3.58201,97.4231
1.80601,3.5784,97.4194
1.81534,3.57479,97.4158
1.82466,3.57117,97.4122
1.83399,3.56756,97.4085
1.84331,3.56395,97.4049
1.85264,3.56034,97.4013
1.86196,3.55673,97.3976
1.87129,3.55312,97.394
1.88061,3.5495,97.3903
1.88994,3.54589,97.3867
1.89926,3.54228,97.3831
1.90859,3.53867,97.3794
1.91791,3.53506,97.3758
1.92724,3.53145,97.3721
1.93656,3.52784,97.3685
1.94589,3.52422,97.3649
1.95521,3.52061,97.3612
1.96454,3.517,97.3576
1.97386,3.51339,97.3539
1.98319,3.50978,97.3503
1.99251,3.50617,97.3467
2.00184,3.50255,97.343
2.01116,3.49894,97.3394
2.02049,3.49533,97.3357
2.02981,3.49172,97.3321
2.03914,3.48811,97.3285
2.04846,3.4845,97.3248
2.05779,3.48088,97.3212
2.06711,3.47727,97.3175
2.07644,3.47366,97.3139
2.08576,3.47005,97.3103
2.09509,3.46644,97.3066
2.10441,3.46283,97.303
2.11374,3.45922,97.2993
2.12306,3.4556,97.2957
2.13239,3.45199,97.2921
2.14171,3.44838,97.2884
2.15104,3.44477,97.2848
2.16036,3.44116,97.2811
2.16969,3.43755,97.2775
2.17901,3.43393,97.2739
2.18834,3.43032,97.2702
2.19766,3.42671,97.2666
2.20699,3.4231,97.2629
2.21631,3.41949,97.2593
2.22564,3.41588,97.2557
2.23496,3.41226,97.252
2.24429,3.40865,97.2484
2.25361,3.40504,97.2447
2.26294,3.40143,97.2411
2.27226,3.39782,97.2375
2.28159,3.39421,97.2338
2.29091,3.39059,97.2302
2.30024,3.38698,97.2265
2.30956,3.38337,97.2229
2.31889,3.37976,97.2193
2.32821,3.37615,97.2156
2.33754,3.37254,97.212
2.34686,3.36893,97.2084
2.35619,3.36531,97.2047
2.36551,3.3617,97.2011
2.37484,3.35809,97.1974
2.38416,3.35448,97.1938
2.39349,3.35087,97.1901
2.40281,3.34726,97.1865
2.41214,3.34364,97.1829
2.42146,3.34003,97.1792
2.43079,3.33642,97.1756
2.44011,3.33281,97.172
2.44944,3.3292,97.1683
2.45876,3.32559,97.1647
2.46809,3.32197,97.161
2.47741,3.31836,97.1574
2.48674,3.31475,97.1538
2.49606,3.31114,97.1501
2.50539,3.30753,97.1465
2.51471,3.30392,97.1428
2.52404,3.30031,97.1392
2.53336,3.29669,97.1356
2.54269,3.29308,97.1319
2.55201,3.28947,97.1283
2.56134,3.28586,97.1246
2.57066,3.28225,97.121
2.57999,3.27864,97.1174
2.58931,3.27502,97.1137
2.59864,3.27141,97.1101
2.60796,3.2678,97.1064
2.61729,3.26419,97.1028
2.62661,3.26058,97.0992
2.63594,3.25697,97.0955
2.64526,3.25335,97.0919
2.65459,3.24974,97.0882
2.66391,3.24613,97.0846
2.67324,3.24252,97.081
2.68256,3.23891,97.0773
2.69189,3.2353,97.0737
2.70121,3.23169,97.07
2.71054,3.22807,97.0664
2.71986,3.22446,97.0628
2.72919,3.22085,97.0591
2.73851,3.21724,97.0555
2.74784,3.21363,97.0518
2.75716,3.21002,97.0482
2.76649,3.2064,97.0446
2.77582,3.20279,97.0409
2.78514,3.19918,97.0373
2.79447,3.19557,97.0336
2.80379,3.19196,97.03
2.81312,3.18835,97.0264
2.82244,3.18473,97.0227
2.83177,3.18112,97.0191
2.84109,3.17751,97.0154
2.85042,3.1739,97.0118
2.85974,3.17029,97.0082
2.86907,3.16668,97.0045
2.87839,3.16306,97.0009
2.88772,3.15945,96.9972
2.89704,3.15584,96.9936
2.90637,3.15223,96.99
2.91569,3.14862,96.9863
2.92502,3.14501,96.9827
2.93434,3.1414,96.979
2.94367,3.13778,96.9754
2.95299,3.13417,96.9718
2.96232,3.13056,96.9681
2.97164,3.12695,96.9645
2.98097,3.12334,96.9608
2.99029,3.11973,96.9572
2.99962,3.11611,96.9536
3.00894,3.1125,96.9499
3.01827,3.10889,96.9463
3.02759,3.10528,96.9426
3.03692,3.10167,96.939
3.04624,3.09806,96.9354
3.05557,3.09444,96.9317
3.06489,3.09083,96.9281
3.07422,3.08722,96.9245
3.08354,3.08361,96.9208
3.09287,3.08,96.9172
3.10219,3.07639,96.9135
3.11152,3.07278,96.9099
3.12084,3.06916,96.9062
3.13017,3.06555,96.9026
3.13949,3.06194,96.899
3.14882,3.05833,96.8953
3.15814,3.05472,96.8917
3.16747,3.05111,96.8881
3.17679,3.04749,96.8844
3.18612,3.04388,96.8808
3.19544,3.04027,96.8771
3.20477,3.03666,96.8735
3.21409,3.03305,96.8699
3.22342,3.02944,96.8662
3.23274,3.02582,96.8626
3.24207,3.02221,96.8589
3.25139,3.0186,96.8553
3.26072,3.01499,96.8517
3.27004,3.01138,96.848
3.27937,3.00777,96.8444
