x,y,z
-1.09644,2.26361,99.01
-1.09414,2.27334,99.0064
-1.0918,2.28306,99.0027
-1.08941,2.29277,98.9991
-1.08697,2.30247,98.9954
-1.08448,2.31216,98.9918
-1.08195,2.32183,98.9882
-1.07936,2.33149,98.9845
-1.07673,2.34114,98.9809
-1.07405,2.35077,98.9772
-1.07132,2.36039,98.9736
-1.06854,2.37,98.97
-1.06572,2.37959,98.9663
-1.06284,2.38917,98.9627
-1.05992,2.39873,98.959
-1.05695,2.40828,98.9554
-1.05394,2.41782,98.9518
-1.05087,2.42733,98.9481
-1.04776,2.43684,98.9445
-1.0446,2.44633,98.9408
-1.04139,2.4558,98.9372
-1.03814,2.46525,98.9336
-1.03484,2.47469,98.9299
-1.03149,2.48412,98.9263
-1.0281,2.49352,98.9226
-1.02465,2.50291,98.919
-1.02116,2.51228,98.9154
-1.01763,2.52164,98.9117
-1.01405,2.53097,98.9081
-1.01042,2.54029,98.9044
-1.00674,2.54959,98.9008
-1.00302,2.55887,98.8972
-0.999248,2.56813,98.8935
-0.995433,2.57738,98.8899
-0.991572,2.5866,98.8863
-0.987665,2.59581,98.8826
-0.983711,2.60499,98.879
-0.979712,2.61416,98.8753
-0.975667,2.6233,98.8717
-0.971577,2.63243,98.868
-0.96744,2.64153,98.8644
-0.963259,2.65062,98.8608
-0.959032,2.65968,98.8571
-0.95476,2.66872,98.8535
-0.950442,2.67774,98.8499
-0.946079,2.68674,98.8462
-0.941672,2.69571,98.8426
-0.93722,2.70467,98.8389
-0.932723,2.7136,98.8353
-0.928181,2.72251,98.8317
-0.923595,2.7314,98.828
-0.918964,2.74026,98.8244
-0.91429,2.7491,98.8207
-0.909571,2.75792,98.8171
-0.904808,2.76671,98.8135
-0.900001,2.77548,98.8098
-0.895151,2.78422,98.8062
-0.890256,2.79294,98.8025
-0.885318,2.80164,98.7989
-0.880337,2.81031,98.7953
-0.875313,2.81896,98.7916
-0.870245,2.82758,98.788
-0.865134,2.83617,98.7843
-0.859981,2.84474,98.7807
-0.854785,2.85329,98.7771
-0.849546,2.8618,98.7734
-0.844264,2.8703,98.7698
-0.83894,2.87876,98.7661
-0.833574,2.8872,98.7625
-0.828165,2.89561,98.7589
-0.822715,2.90399,98.7552
-0.817223,2.91235,98.7516
-0.811689,2.92068,98.7479
-0.806114,2.92898,98.7443
-0.800497,2.93725,98.7407
-0.794838,2.9455,98.737
-0.789139,2.95372,98.7334
-0.783399,2.9619,98.7297
-0.777617,2.97006,98.7261
-0.771795,2.97819,98.7225
-0.765933,2.9863,98.7188
-0.76003,2.99437,98.7152
-0.754087,3.00241,98.7115
-0.748103,3.01042,98.7079
-0.74208,3.0184,98.7043
-0.736017,3.02636,98.7006
-0.729914,3.03428,98.697
-0.723771,3.04217,98.6933
-0.717589,3.05003,98.6897
-0.711369,3.05786,98.6861
-0.705108,3.06566,98.6824
-0.698809,3.07342,98.6788
-0.692471,3.08116,98.6751
-0.686095,3.08886,98.6715
-0.67968,3.09653,98.6679
-0.673227,3.10417,98.6642
-0.666736,3.11178,98.6606
-0.660207,3.11935,98.657
-0.65364,3.1269,98.6533
-0.647035,3.1344,98.6497
-0.640393,3.14188,98.646
-0.633714,3.14932,98.6424
-0.626998,3.15673,98.6387
-0.620244,3.16411,98.6351
-0.613454,3.17145,98.6315
-0.606627,3.17875,98.6278
-0.599764,3.18603,98.6242
-0.592864,3.19327,98.6206
-0.585928,3.20047,98.6169
-0.578957,3.20764,98.6133
-0.57195,3.21477,98.6096
-0.564907,3.22187,98.606
-0.557828,3.22894,98.6024
-0.550715,3.23596,98.5987
-0.543566,3.24296,98.5951
-0.536382,3.24991,98.5914
-0.529164,3.25683,98.5878
-0.521912,3.26372,98.5842
-0.514625,3.27057,98.5805
-0.507303,3.27738,98.5769
-0.499948,3.28415,98.5732
-0.492559,3.29089,98.5696
-0.485137,3.29759,98.566
-0.477681,3.30426,98.5623
-0.470191,3.31088,98.5587
-0.462669,3.31747,98.555
-0.455114,3.32402,98.5514
-0.447527,3.33054,98.5478
-0.439906,3.33701,98.5441
-0.432254,3.34345,98.5405
-0.424569,3.34985,98.5368
-0.416853,3.35621,98.5332
-0.409104,3.36253,98.5296
-0.401325,3.36881,98.5259
-0.393514,3.37506,98.5223
-0.385672,3.38126,98.5186
-0.377799,3.38743,98.515
-0.369895,3.39356,98.5114
-0.36196,3.39964,98.5077
-0.353996,3.40569,98.5041
-0.346001,3.4117,98.5004
-0.337976,3.41766,98.4968
