x,y,z
-2.8616,-1.73106,98.5842
-2.85792,-1.74036,98.5805
-2.85419,-1.74964,98.5769
-2.85042,-1.7589,98.5732
-2.84661,-1.76815,98.5696
-2.84274,-1.77737,98.566
-2.83883,-1.78657,98.5623
-2.83488,-1.79576,98.5587
-2.83087,-1.80492,98.555
-2.82683,-1.81407,98.5514
-2.82273,-1.82319,98.5478
-2.81859,-1.83229,98.5441
-2.81441,-1.84138,98.5405
-2.81018,-1.85044,98.5368
-2.80591,-1.85948,98.5332
-2.80159,-1.8685,98.5296
-2.79722,-1.87749,98.5259
-2.79281,-1.88647,98.5223
-2.78836,-1.89542,98.5186
-2.78386,-1.90435,98.515
-2.77931,-1.91326,98.5114
-2.77472,-1.92215,98.5077
-2.77009,-1.93101,98.5041
-2.76541,-1.93985,98.5004
-2.76069,-1.94866,98.4968
-2.75593,-1.95745,98.4932
-2.75112,-1.96622,98.4895
-2.74627,-1.97496,98.4859
-2.74137,-1.98368,98.4822
-2.73643,-1.99238,98.4786
-2.73145,-2.00105,98.475
-2.72642,-2.00969,98.4713
-2.72135,-2.01831,98.4677
-2.71624,-2.02691,98.464
-2.71108,-2.03547,98.4604
-2.70588,-2.04402,98.4568
-2.70064,-2.05253,98.4531
-2.69536,-2.06102,98.4495
-2.69003,-2.06949,98.4458
-2.68466,-2.07792,98.4422
-2.67925,-2.08633,98.4386
-2.6738,-2.09472,98.4349
-2.6683,-2.10307,98.4313
-2.66277,-2.1114,98.4277
-2.65719,-2.1197,98.424
-2.65157,-2.12797,98.4204
-2.64591,-2.13621,98.4167
-2.64021,-2.14443,98.4131
-2.63447,-2.15262,98.4094
-2.62868,-2.16077,98.4058
-2.62286,-2.1689,98.4022
-2.61699,-2.177,98.3985
-2.61109,-2.18507,98.3949
-2.60514,-2.19311,98.3913
-2.59916,-2.20112,98.3876
-2.59313,-2.2091,98.384
-2.58707,-2.21706,98.3803
-2.58096,-2.22498,98.3767
-2.57482,-2.23286,98.3731
-2.56863,-2.24072,98.3694
-2.56241,-2.24855,98.3658
-2.55615,-2.25635,98.3621
-2.54985,-2.26411,98.3585
-2.54351,-2.27185,98.3549
-2.53713,-2.27955,98.3512
-2.53071,-2.28722,98.3476
-2.52426,-2.29485,98.3439
-2.51776,-2.30246,98.3403
-2.51123,-2.31003,98.3367
-2.50466,-2.31757,98.333
-2.49805,-2.32508,98.3294
-2.49141,-2.33255,98.3257
-2.48473,-2.33999,98.3221
-2.47801,-2.3474,98.3185
-2.47125,-2.35477,98.3148
-2.46446,-2.36211,98.3112
-2.45763,-2.36942,98.3075
-2.45077,-2.37669,98.3039
-2.44387,-2.38392,98.3003
-2.43693,-2.39113,98.2966
-2.42996,-2.39829,98.293
-2.42295,-2.40543,98.2893
-2.4159,-2.41252,98.2857
-2.40882,-2.41958,98.2821
-2.40171,-2.42661,98.2784
-2.39456,-2.4336,98.2748
-2.38737,-2.44056,98.2711
-2.38015,-2.44748,98.2675
-2.3729,-2.45436,98.2639
-2.36561,-2.4612,98.2602
-2.35828,-2.46801,98.2566
-2.35093,-2.47479,98.2529
-2.34354,-2.48152,98.2493
-2.33611,-2.48822,98.2457
-2.32865,-2.49488,98.242
-2.32116,-2.50151,98.2384
-2.31364,-2.5081,98.2347
-2.30608,-2.51465,98.2311
-2.29849,-2.52116,98.2275
-2.29087,-2.52763,98.2238
-2.28322,-2.53407,98.2202
-2.27553,-2.54046,98.2165
-2.26781,-2.54682,98.2129
-2.26006,-2.55314,98.2093
-2.25228,-2.55942,98.2056
-2.24447,-2.56566,98.202
-2.23662,-2.57187,98.1983
-2.22875,-2.57803,98.1947
-2.22084,-2.58415,98.1911
-2.21291,-2.59024,98.1874
-2.20494,-2.59628,98.1838
-2.19694,-2.60229,98.1801
-2.18892,-2.60825,98.1765
-2.18086,-2.61418,98.1729
-2.17278,-2.62006,98.1692
-2.16466,-2.6259,98.1656
-2.15652,-2.63171,98.1619
-2.14834,-2.63747,98.1583
-2.14014,-2.64319,98.1547
-2.13191,-2.64887,98.151
-2.12365,-2.65451,98.1474
-2.11537,-2.66011,98.1438
-2.10705,-2.66566,98.1401
-2.09871,-2.67118,98.1365
-2.09034,-2.67665,98.1328
-2.08194,-2.68208,98.1292
-2.07352,-2.68747,98.1256
-2.06507,-2.69282,98.1219
-2.05659,-2.69812,98.1183
-2.04809,-2.70338,98.1146
-2.03956,-2.7086,98.111
-2.031,-2.71378,98.1074
-2.02242,-2.71891,98.1037
-2.01381,-2.724,98.1001
-2.00518,-2.72905,98.0964
-1.99652,-2.73405,98.0928
-1.98784,-2.73901,98.0892
-1.97913,-2.74393,98.0855
-1.9704,-2.74881,98.0819
-1.96165,-2.75364,98.0782
-1.95286,-2.75842,98.0746
-1.94406,-2.76316,98.071
-1.93523,-2.76786,98.0673
-1.92638,-2.77252,98.0637
-1.91751,-2.77713,98.06
-1.90861,-2.78169,98.0564
-1.89969,-2.78621,98.0528
-1.89075,-2.79069,98.0491
-1.88178,-2.79512,98.0455
-1.8728,-2.79951,98.0418
-1.86379,-2.80385,98.0382
-1.85476,-2.80814,98.0346
-1.84571,-2.8124,98.0309
-1.83664,-2.8166,98.0273
-1.82754,-2.82076,98.0236
-1.81843,-2.82488,98.02
-1.80929,-2.82895,98.0164
-1.80014,-2.83297,98.0127
-1.79096,-2.83695,98.0091
-1.78177,-2.84088,98.0054
-1.77256,-2.84477,98.0018
-1.76332,-2.8486,97.9982
-1.75407,-2.8524,97.9945
-1.7448,-2.85615,97.9909
-1.73551,-2.85985,97.9872
-1.7262,-2.8635,97.9836
-1.71687,-2.86711,97.98
-1.70753,-2.87067,97.9763
-1.69817,-2.87418,97.9727
-1.68879,-2.87765,97.969
-1.67939,-2.88107,97.9654
-1.66998,-2.88444,97.9618
-1.66055,-2.88777,97.9581
-1.6511,-2.89105,97.9545
-1.64164,-2.89428,97.9509
-1.63216,-2.89747,97.9472
-1.62266,-2.9006,97.9436
-1.61315,-2.90369,97.9399
-1.60362,-2.90673,97.9363
-1.59408,-2.90973,97.9326
-1.58453,-2.91268,97.929
-1.57496,-2.91557,97.9254
-1.56537,-2.91843,97.9217
-1.55577,-2.92123,97.9181
-1.54616,-2.92398,97.9145
-1.53653,-2.92669,97.9108
-1.52689,-2.92935,97.9072
-1.51724,-2.93196,97.9035
-1.50757,-2.93452,97.8999
-1.49789,-2.93703,97.8963
-1.4882,-2.9395,97.8926
-1.4785,-2.94192,97.889
-1.46878,-2.94428,97.8853
-1.45906,-2.9466,97.8817
-1.44932,-2.94888,97.8781
-1.43957,-2.9511,97.8744
-1.42981,-2.95327,97.8708
-1.42003,-2.9554,97.8671
-1.41025,-2.95747,97.8635
-1.40046,-2.9595,97.8599
-1.39066,-2.96148,97.8562
-1.38085,-2.9634,97.8526
-1.37102,-2.96528,97.8489
-1.36119,-2.96711,97.8453
-1.35135,-2.9689,97.8417
-1.3415,-2.97063,97.838
-1.33165,-2.97231,97.8344
-1.32178,-2.97394,97.8307
-1.31191,-2.97553,97.8271
-1.30203,-2.97706,97.8235
-1.29214,-2.97855,97.8198
-1.28224,-2.97998,97.8162
-1.27234,-2.98137,97.8125
-1.26243,-2.98271,97.8089
-1.25251,-2.984,97.8053
-1.24259,-2.98523,97.8016
-1.23266,-2.98642,97.798
-1.22272,-2.98756,97.7943
-1.21278,-2.98865,97.7907
